('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         540386 function calls (521626 primitive calls) in 6.097 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.000    0.000 parse.py:412(urlsplit)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       39    0.000    0.000    0.000    0.000 element.py:1985(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2139(__init__)
    40/18    0.000    0.000    0.150    0.008 {built-in method builtins.__import__}
        1    0.000    0.000    6.097    6.097 financial.py:1(<module>)
       62    0.000    0.000    0.001    0.000 typing.py:638(copy_with)
        1    0.000    0.000    0.002    0.002 typing.py:19(<module>)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        1    0.000    0.000    0.018    0.018 url.py:1(<module>)
       51    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      255    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      196    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      146    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       15    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
       12    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       81    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
      196    0.000    0.000    0.000    0.000 enum.py:633(value)
        2    0.000    0.000    0.624    0.312 connectionpool.py:361(_make_request)
      168    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       21    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       25    0.000    0.000    0.000    0.000 response.py:692(_update_chunk_length)
        1    0.000    0.000    0.000    0.000 tempfile.py:627(SpooledTemporaryFile)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       28    0.000    0.000    0.001    0.000 typing.py:765(__getitem_inner__)
      165    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        4    0.000    0.000    0.000    0.000 socket.py:139(__init__)
       22    0.000    0.000    0.000    0.000 queue.py:121(put)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      146    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      168    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        4    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
       10    0.000    0.000    0.004    0.000 enum.py:638(_convert)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       11    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       24    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        2    0.000    0.000    0.001    0.000 client.py:203(parse_headers)
        3    0.000    0.000    0.024    0.008 request.py:2557(_proxy_bypass_macosx_sysconf)
        1    0.000    0.000    0.011    0.011 request.py:68(<module>)
        1    0.000    0.000    0.006    0.006 utils.py:9(<module>)
       24    0.000    0.000    0.000    0.000 queue.py:153(get)
       66    0.000    0.000    0.000    0.000 re.py:254(escape)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        2    0.000    0.000    0.625    0.312 connectionpool.py:522(urlopen)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
